id,peta_acuan,pr_permukiman,pr_perkantoan,pr_pendidikan,pr_ofm,pr_transport_umum,pr_taman,pr_hotel,pr_pasar_mall,pr_kesehatan,usia,jk,status_menikah,pendidikan,jml_motor,jml_mobil,jml_sepeda,jml_kendaraan_pribadi,jml_anggota_rt,posisi_rt,penghasilan_pribadi,penghasilan_keluarga,pekerjaan_selain,jam_online,status_kepemilikan,lama_driver,ojek_konvensional
28,3,Penting,Sangat penting,Sangat penting,Sangat penting,Netral,Penting,Netral,Netral,Netral,52,Laki-laki,Menikah,SMP,1,0,2,3,5,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,6-8 jam,Pribadi,5-7 tahun,Tidak
29,1,Netral,Penting,Penting,Sangat penting,Tidak penting,Tidak penting,Penting,Sangat penting,Netral,28,Laki-laki,Belum Menikah,SMA/SMK,1,0,1,2,6,Anak,Rp2.000.000-Rp2.999.999,Lebih dari Rp.15.000.000,Wirausahawan,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
30,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,22,Laki-laki,Belum Menikah,Diploma,4,1,1,6,8,Anak,Rp8.000.000-R8.999.999,Rp11.000.000-Rp11.999.999,Wirausahawan,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
31,3,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,46,Laki-laki,Menikah,SMA/SMK,1,0,1,2,6,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,6-8 jam,Pribadi,5-7 tahun,Ya
32,4,Netral,Netral,Netral,Sangat penting,Netral,Netral,Netral,Netral,Netral,38,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Rp5.000.000-Rp5.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,8-10 jam,Pribadi,7-9 tahun,Tidak
33,2,Sangat penting,Tidak penting,Penting,Sangat penting,Tidak penting,Netral,Netral,Sangat tidak penting,Sangat tidak penting,41,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,8-10 jam,Pribadi,7-9 tahun,Tidak
34,1,Tidak penting,Penting,Sangat penting,Sangat penting,Penting,Netral,Penting,Sangat penting,Tidak penting,31,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
35,3,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,39,Laki-laki,Menikah,Diploma,1,0,1,2,4,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
36,4,Sangat penting,Sangat penting,Sangat penting,Penting,Tidak penting,Sangat tidak penting,Tidak penting,Sangat penting,Penting,558,Laki-laki,Menikah,SD,1,0,0,1,4,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
37,1,Tidak penting,Tidak penting,Tidak penting,Sangat penting,Sangat tidak penting,Netral,Netral,Sangat penting,Sangat tidak penting,24,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Rp6.000.000-Rp6.999.999,Di bawah Rp1.000.000,Karyawan Swasta (Full-time),Di atas 10 jam,Pribadi,1-3 tahun,Tidak
38,4,Penting,Tidak penting,Tidak penting,Sangat penting,Tidak penting,Sangat tidak penting,Tidak penting,Tidak penting,Tidak penting,57,Laki-laki,Menikah,Sarjana,2,1,0,3,10,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp6.000.000-Rp6.999.999,Wirausahawan,Di atas 10 jam,Pribadi,3-5 tahun,Ya
39,1,Netral,Sangat penting,Sangat penting,Tidak penting,Penting,Penting,Penting,Sangat penting,Tidak penting,38,Laki-laki,Menikah,SMA/SMK,1,0,0,1,2,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Tidak
40,2,Penting,Netral,Sangat penting,Sangat penting,Sangat penting,Sangat tidak penting,Netral,Penting,Penting,43,Laki-laki,Menikah,Sarjana,1,0,0,1,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
41,5,Netral,Netral,Netral,Sangat penting,Penting,Sangat penting,Sangat penting,Penting,Penting,53,Laki-laki,Menikah,Diploma,1,0,1,2,4,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Tidak
42,3,Penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,44,Laki-laki,Menikah,SMP,1,0,0,1,5,Kepala rumah tangga,Rp6.000.000-Rp6.999.999,Rp6.000.000-Rp6.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
43,2,Tidak penting,Tidak penting,Tidak penting,Tidak penting,Netral,Sangat tidak penting,Sangat tidak penting,Tidak penting,Tidak penting,44,Laki-laki,Menikah,SMP,0,0,0,0,4,Kepala rumah tangga,Di bawah Rp1.000.000,Di bawah Rp1.000.000,Wirausahawan,Di atas 10 jam,Pinjaman orang tua,3-5 tahun,Ya
44,3,Sangat penting,Sangat penting,Sangat penting,Penting,Netral,Netral,Netral,Penting,Netral,55,Laki-laki,Menikah,SMP,1,0,2,3,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,4-6 jam,Pribadi,Di atas 9 tahun,Tidak
45,3,Tidak penting,Tidak penting,Tidak penting,Tidak penting,Tidak penting,Tidak penting,Tidak penting,Tidak penting,Tidak penting,30,Laki-laki,Menikah,SMP,1,0,0,1,2,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,8-10 jam,Pribadi,1-3 tahun,Ya
46,4,Penting,Penting,Sangat penting,Netral,Tidak penting,Netral,Netral,Tidak penting,Penting,41,Laki-laki,Menikah,SMA/SMK,2,0,1,3,5,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,6-8 jam,Pribadi,3-5 tahun,Tidak
47,3,Penting,Sangat penting,Sangat penting,Sangat penting,Penting,Sangat penting,Sangat penting,Sangat penting,Penting,51,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
48,4,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Netral,Netral,Netral,Netral,Netral,50,Laki-laki,Menikah,SMP,2,0,1,3,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,6-8 jam,Pribadi,7-9 tahun,Tidak
49,3,Penting,Penting,Sangat penting,Penting,Penting,Netral,Sangat penting,Sangat penting,Penting,49,Laki-laki,Menikah,SD,1,0,1,2,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,6-8 jam,Pribadi,1-3 tahun,Tidak
50,4,Penting,Penting,Sangat penting,Sangat penting,Penting,Netral,Netral,Sangat penting,Netral,42,Laki-laki,Menikah,SMA/SMK,2,0,0,2,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,8-10 jam,Pribadi,Di atas 9 tahun,Tidak
51,2,Penting,Netral,Sangat penting,Sangat penting,Penting,Netral,Penting,Sangat penting,Netral,51,Perempuan,Menikah,SMP,1,0,0,1,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
52,5,Netral,Penting,Sangat penting,Netral,Netral,Netral,Penting,Sangat penting,Penting,43,Laki-laki,Menikah,SMA/SMK,2,0,1,3,3,Kepala rumah tangga,Rp5.000.000-Rp5.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,4-6 jam,Pribadi,Di bawah 1 tahun,Tidak
53,3,Netral,Netral,Penting,Sangat penting,Sangat penting,Tidak penting,Netral,Penting,Netral,52,Laki-laki,Menikah,SMA/SMK,1,0,0,1,2,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,8-10 jam,Pribadi,1-3 tahun,Tidak
54,2,Penting,Penting,Sangat penting,Sangat penting,Sangat penting,Netral,Penting,Sangat penting,Sangat penting,29,Laki-laki,Menikah,Diploma,1,0,0,1,3,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,6-8 jam,Pribadi,1-3 tahun,Tidak
55,3,Penting,Penting,Sangat penting,Sangat penting,Netral,Netral,Netral,Penting,Netral,39,Laki-laki,Menikah,Diploma,1,0,0,1,5,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp8.000.000-R8.999.999,Wirausahawan,8-10 jam,Pribadi,3-5 tahun,Tidak
56,1,Netral,Netral,Netral,Sangat penting,Netral,Netral,Netral,Netral,Netral,24,Laki-laki,Menikah,Sarjana,1,0,0,1,1,Kepala rumah tangga,Rp5.000.000-Rp5.999.999,Rp5.000.000-Rp5.999.999,Mahasiswa,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
57,4,Penting,Penting,Penting,Penting,Penting,Penting,Netral,Penting,Penting,37,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Wirausahawan,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
58,4,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Penting,Penting,Penting,Sangat penting,Penting,34,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp5.000.000-Rp5.999.999,Wirausahawan,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
59,4,Penting,Netral,Penting,Penting,Penting,Netral,Penting,Penting,Penting,33,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,1-3 tahun,Tidak
60,3,Penting,Penting,Sangat penting,Sangat penting,Tidak penting,Tidak penting,Netral,Tidak penting,Tidak penting,51,Laki-laki,Menikah,Sarjana,2,0,0,2,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Di bawah Rp1.000.000,Tidak ada,6-8 jam,Pribadi,5-7 tahun,Tidak
61,1,Netral,Netral,Tidak penting,Sangat penting,Netral,Tidak penting,Sangat tidak penting,Penting,Penting,36,Laki-laki,Menikah,SMA/SMK,1,0,1,2,5,Kepala rumah tangga,Rp5.000.000-Rp5.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
62,3,Penting,Tidak penting,Sangat penting,Penting,Sangat penting,Tidak penting,Tidak penting,Sangat penting,Sangat penting,57,Laki-laki,Menikah,SMP,1,0,1,2,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
63,4,Penting,Penting,Sangat penting,Penting,Netral,Tidak penting,Tidak penting,Netral,Netral,42,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp6.000.000-Rp6.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Ya
64,3,Penting,Penting,Penting,Penting,Tidak penting,Tidak penting,Penting,Penting,Penting,48,Laki-laki,Menikah,Sarjana,1,0,0,1,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp3.000.000-Rp3.999.999,Wirausahawan,2-4 jam,Pribadi,1-3 tahun,Tidak
65,5,Netral,Netral,Sangat penting,Penting,Penting,Sangat tidak penting,Sangat tidak penting,Netral,Sangat tidak penting,39,Laki-laki,Menikah,SMA/SMK,1,0,1 tapi punya anak,1,4,Kepala rumah tangga,Rp8.000.000-R8.999.999,Rp9.000.000-Rp9.999.999,"Tidak ada, Karyawan Swasta (Part-time)",4-6 jam,Pribadi,3-5 tahun,Tidak
66,5,Penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Tidak penting,Tidak penting,Sangat penting,Tidak penting,31,Laki-laki,Belum Menikah,Sarjana,1,0,0,1,1,Kepala rumah tangga,Rp6.000.000-Rp6.999.999,Rp6.000.000-Rp6.999.999,Karyawan Swasta (Part-time),8-10 jam,Pribadi,7-9 tahun,Tidak
67,3,Penting,Penting,Penting,Penting,Netral,Tidak penting,Netral,Penting,Netral,39,Laki-laki,Menikah,SMA/SMK,1,0,1,2,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Tidak
68,5,Penting,Sangat penting,Sangat penting,Sangat penting,Penting,Netral,Netral,Sangat penting,Netral,25,Laki-laki,Belum Menikah,SMP,1,0,0,1,5,Anak,Rp3.000.000-Rp3.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Tidak
69,5,Netral,Penting,Penting,Sangat penting,Netral,Tidak penting,Tidak penting,Penting,Penting,53,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp6.000.000-Rp6.999.999,Rp7.000.000-Rp7.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Tidak
70,4,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,35,Laki-laki,Cerai,SMP,1,0,0,1,4,Anak,Di bawah Rp1.000.000,Di bawah Rp1.000.000,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
71,3,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,32,Laki-laki,Menikah,SMA/SMK,1,0,0,1,2,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
72,4,Penting,Penting,Sangat penting,Penting,Penting,Tidak penting,Penting,Penting,Netral,40,Laki-laki,Menikah,SMA/SMK,2,0,0,2,3,Kepala rumah tangga,Rp6.000.000-Rp6.999.999,Rp6.000.000-Rp6.999.999,"Tidak ada, Karyawan Swasta (Part-time)",8-10 jam,Pribadi,5-7 tahun,Ya
73,5,Netral,Netral,Sangat penting,Sangat penting,Sangat penting,Netral,Tidak penting,Penting,Tidak penting,50,Laki-laki,Menikah,SMA/SMK,2,0,0,2,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Tidak
74,4,Sangat penting,Tidak penting,Netral,Sangat penting,Sangat penting,Sangat tidak penting,Sangat tidak penting,Sangat penting,Penting,46,Laki-laki,Menikah,SD,1,0,0,1,6,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
75,2,Tidak penting,Sangat tidak penting,Penting,Sangat penting,Tidak penting,Netral,Sangat tidak penting,Sangat penting,Sangat tidak penting,40,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp5.000.000-Rp5.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,8-10 jam,Pribadi,7-9 tahun,Tidak
76,4,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,45,Laki-laki,Menikah,SMP,1,0,0,1,3,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
77,5,Sangat penting,Penting,Sangat penting,Penting,Penting,Penting,Penting,Penting,Penting,38,Laki-laki,Menikah,SMA/SMK,1,0,-,1,4,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
78,4,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Penting,Sangat penting,Sangat penting,Penting,32,Laki-laki,Menikah,SMA/SMK,1,0,0,1,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
79,5,Sangat penting,Netral,Netral,Penting,Sangat penting,Sangat tidak penting,Sangat tidak penting,Sangat penting,Penting,44,Laki-laki,Menikah,SMP,2,0,0,2,3,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
80,5,Penting,Penting,Penting,Sangat penting,Penting,Penting,Penting,Sangat penting,Penting,38,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
81,4,Penting,Tidak penting,Netral,Sangat penting,Netral,Sangat tidak penting,Sangat tidak penting,Sangat penting,Netral,28,Laki-laki,Belum Menikah,SMA/SMK,1,0,0,1,1,Anak,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,1-3 tahun,Tidak
